,PSR name,J-Name,P (s),B (G),NF (%),References
1,B0031-07,J0034-0721,0.9429,6.28E+11,44±1,Gajjar (2017)
2,B0045+33,J0048+3412,1.2171,1.71E+12,21±1,Redman and Rankin (2009)
3,B0148-06,J0151-0635,1.4647,8.15E+11,≤5,Biggs (1992)
4,B0149-16,J0152-1637,0.8327,1.05E+12,≤2.5,Vivekanand (1995)
5,B0301+19,J0304+1932,1.3876,1.36E+12,10,Rankin (1986)
6,B0329+54,J0332+5434,0.7145,1.22E+12,≤0.25,Ritchings (1976)
7,B0450-18,J0452-1759,0.5489,1.80E+12,≤0.5,Ritchings (1976)
8,J0458-0505,J0458-0505,1.8835,1.01E+12,63±3,Lynch et al. (2013)
9,B0523+11,J0525+1115,0.3544,1.63E+11,≤0.06,Weisberg et al. (1986)
10,B0525+21,J0528+2200,3.7455,1.24E+13,25±5,Ritchings (1976)
11,B0529-66,J0529-6652,0.9757,3.94E+12,83.5±1.5,Crawford et al. (2013)
12,B0626+24,J0629+2415,0.4766,9.87E+11,≤0.02,Weisberg et al. (1986)
13,B0628-28,J0630-2834,1.2444,3.01E+12,≤0.3,Biggs (1992)
14,B0656+14,J0659+1414,0.3849,4.66E+12,12±4,Weisberg et al. (1986)
15,B0736-40,J0738-4042,0.3749,7.88E+11,≤0.4,Biggs (1992)
16,B0740-28,J0742-2822,0.1668,1.69E+12,≤0.2,Biggs (1992)
17,B0751+32,J0754+3231,1.4423,1.26E+12,34±0.5,Weisberg et al. (1986)
18,B0809+74,J0814+7429,1.2922,4.72E+11,≤5,Ritchings (1976)
19,B0818-13,J0820-1350,1.2381,1.63E+12,1.5±0.25,Ritchings (1976)
20,B0818-41,J0820-4114,0.5454,1.03E+11,30,Bhattacharyya et al. (2010)
21,B0820+02,J0823+0159,0.8649,3.04E+11,≤0.06,Weisberg et al. (1986)
22,B0823+26,J0826+2637,0.5307,9.64E+11,6.4±0.8,Rankin and Rathnasree (1995)
23,B0826-34,J0828-3417,1.8489,1.37E+12,75±35,Durdin et al. (1979)
24,B0833-45,J0835-4510,0.0893,3.38E+12,≤0.0008,Biggs (1992)
25,B0834+06,J0837+0610,1.2738,2.98E+12,7.1±0.1,Ritchings (1976)
26,B0835-41,J0837-4135,0.7516,1.65E+12,1.7±1.2,Gajjar (2017)
27,B0906-17,J0908-1739,0.4016,5.25E+11,26.8±1.7,Basu et al. (2017)
,B0906-18,J0908-1740,0.4016,5.25E+11,25.7±1.3,Basu et al. (2017)
28,B0919+06,J0922+0638,0.4306,2.46E+12,≤0.05,Weisberg et al. (1986)
29,B0932-52,J0934-5249,1.4448,2.62E+12,5±3,Naidu et al. (2017)
30,B0940-55,J0942-5552,0.6644,3.94E+12,≤12.5,Biggs (1992)
31,B0940+16,J0943+1631,1.0874,3.18E+11,8±3,Weisberg et al. (1986)
32,B0942-13,J0944-1354,0.5703,1.63E+11,14.4±0.9,Basu et al. (2017)
,B0942-14,J0944-1355,0.5703,1.63E+11,≤7,Vivekanand (1995)
33,B0950+08,J0953+0755,0.2531,2.44E+11,≤5,Ritchings (1976)
34,J1049-5833,J1049-5833,2.2023,3.15E+12,47±3,Wang et al. (2007)
,J1049-5833,J1049-5833,2.2023,3.15E+12,47±3,Yang et al. (2014)
35,B1055-52,J1057-5226,0.1971,1.09E+12,≤11,Biggs (1992)
